	[C](normalized)	[CCML](normalized)	[Ca](normalized)	[CWP](normalized)	[N](normalized)	[NCML](normalized)
hsa_circ_0084717	2	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0084708	1	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0084707	0	0.663747764	0.549000403	0.487322856	1.658751561	0.485919059
hsa_circ_0084691	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0084678	1	1.663747764	3.133962904	2.072285357	0.658751561	0.485919059
hsa_circ_0084666	0	0.663747764	3.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0084665	0	0.663747764	0.549000403	2.809250951	0.658751561	0.485919059
hsa_circ_0084648	1	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0084637	1.584962501	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0084615	5.754887502	5.617944075	5.941317826	5.010884813	0.658751561	3.293273981
hsa_circ_0084606	2.584962501	3.985675859	3.133962904	2.487322856	4.118183179	2.485919059
hsa_circ_0084582	0	2.248710265	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0084580	2	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0084552	1.584962501	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0084505	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0084464	0	2.663747764	2.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0084346	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0084143	3	0.663747764	2.133962904	0.487322856	0.658751561	2.070881559
hsa_circ_0084135	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0084133	1	2.248710265	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0084106	1	0.663747764	2.549000403	0.487322856	4.359191279	1.485919059
hsa_circ_0084089	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0084052	1	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0084051	3.169925001	3.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0084038	0	0.663747764	0.549000403	0.487322856	3.243714061	0.485919059
hsa_circ_0084029	0	2.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0084023	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0084021	1	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0084018	1.584962501	2.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0083974	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
